first_name,last_name,age,gender,city,marital_status,employment_status,ethnicity,blood_type,exercise_frequency
Glennie,Birwhistle,31,Non-binary,Nine,Married,Unemployed,Guamanian,B+,Weekly
Daven,Taynton,37,Male,Chaykovskaya,Married,Unemployed,Asian,O-,Daily
Pancho,Muscroft,59,Male,Chaltyr,Divorced,Retired,Latin American Indian,AB+,Often
Joshia,Tithacott,64,Male,Kademangan,Single,Unemployed,Pima,AB-,Seldom
Patience,Stockin,51,Female,Sukaraja,Divorced,Retired,Tohono O'Odham,AB+,Daily
Judon,Spire,42,Male,Xunzhong,Single,Unemployed,Salvadoran,A+,Seldom
Marlane,Lenahan,58,Female,Urzhar,Divorced,Retired,Lumbee,O+,Yearly
Robena,Capini,58,Female,Abricots,Married,Unemployed,Seminole,AB+,Daily
Ara,Cosbey,45,Male,Palmar de Varela,Single,Retired,Uruguayan,AB-,Never
Micky,Madrell,22,Male,Dagohoy,Married,Employed,Pima,A-,Monthly
Weston,Knightly,65,Male,Luxi,Married,Unemployed,Guatemalan,B-,Never
Valeda,Harbertson,37,Female,Quiruvilca,Divorced,Unemployed,Cambodian,O-,Never
Roxie,Olyunin,44,Female,Krajan,Divorced,Unemployed,Eskimo,AB+,Monthly
Kirby,Gouldbourn,85,Female,Mirkovci,Divorced,Retired,American Indian,O+,Yearly
Leesa,Pepin,24,Female,Priboj,Married,Unemployed,Apache,B+,Never
Murry,Limpenny,38,Male,Buenavista,Married,Retired,South American,AB-,Weekly
Christean,Fumagalli,46,Agender,Jaen,Divorced,Unemployed,Colville,AB-,Never
Georgette,Askaw,22,Female,Tālīn,Divorced,Employed,Fijian,O-,Never
Paule,Guerin,78,Female,Pawitan,Single,Employed,Polynesian,AB+,Weekly
Neils,Ferdinand,74,Male,Esmoriz,Divorced,Retired,Korean,AB-,Yearly
Read,Surgison,45,Male,Barueri,Married,Employed,Yaqui,B+,Weekly
Lovell,Faulder,69,Male,Linköping,Single,Employed,Indonesian,AB+,Weekly
Jeremie,Gibbonson,32,Male,Fujieda,Married,Unemployed,Alaska Native,A-,Monthly
Gavin,Zorer,18,Male,Krasnystaw,Single,Employed,Samoan,AB-,Once
Gamaliel,Turner,29,Male,Masuguru,Single,Unemployed,Ottawa,AB-,Yearly
Frank,Jerg,60,Male,Sindangjawa,Divorced,Retired,Apache,B+,Weekly
Herta,Tissier,31,Female,Sunan,Single,Retired,Pima,O-,Weekly
Link,Keddy,39,Male,Changxing,Married,Retired,South American,A-,Weekly
Linette,Rann,75,Genderqueer,Duntou,Married,Unemployed,Navajo,A+,Seldom
Leicester,Thackham,49,Male,Inicbulan,Single,Unemployed,Polynesian,B-,Once
Pepito,Hurlin,64,Male,Pervomays’k,Married,Unemployed,Spaniard,O+,Monthly
Gael,Wathall,83,Female,Chitagá,Divorced,Unemployed,Crow,B-,Weekly
Arty,Turbefield,27,Male,Infantas,Married,Employed,Apache,B-,Daily
Pam,Bonnick,54,Female,Baohe,Married,Unemployed,Aleut,A-,Daily
Marybeth,Arlidge,18,Female,Tayum,Divorced,Employed,Vietnamese,A+,Never
Gerhardt,Mayor,81,Male,Vyškov,Divorced,Unemployed,Argentinian,AB+,Weekly
Elvera,Robb,29,Female,Dalupaon,Married,Employed,Kiowa,AB+,Once
Warner,Klisch,54,Male,Luotaping,Single,Unemployed,Pakistani,A+,Often
Taylor,Gladdor,24,Male,Crespo,Married,Employed,Colombian,O+,Seldom
Ashien,Gillum,64,Female,Huanglin,Divorced,Employed,Tongan,B+,Never
